image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241283912.jpg,The Little Book of Hygge,Meik Wiking,Hardback,3.5,11.61,$,11.99,9780241283912,Food-Drink,dataset/Food-Drink/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091933685.jpg,Plenty,Yotam Ottolenghi,Hardback,4.5,30.27,$,33.11,9780091933685,Food-Drink,dataset/Food-Drink/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091924850.jpg,Annabel Karmel's New Complete Baby & Toddler Meal Planner - 4th Edition,Annabel Karmel,Hardback,4.0,17.11,$,19.1,9780091924850,Food-Drink,dataset/Food-Drink/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091943745.jpg,Jerusalem,Yotam Ottolenghi,Hardback,4.5,30.63,$,32.5,9780091943745,Food-Drink,dataset/Food-Drink/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4093/9781409303183.jpg,Peppa Pig: Little Library,Peppa Pig,Board book,4.0,7.22,$,,9781409303183,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4063/9781406338539.jpg,I Want My Hat Back,Jon Klassen,Paperback,4.5,7.03,$,9.5,9781406338539,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1424/9780142403877.jpg,The Gruffalo,Julia Donaldson,Paperback,4.5,6.91,$,7.95,9780142403877,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4424/9781442408937.jpg,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Saenz,Paperback,4.5,7.72,$,15.0,9781442408937,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4095/9781409550259.jpg,Look Inside Things That Go,Rob Lloyd Jones,Hardback,4.5,9.92,$,12.9,9781409550259,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/3140/9783314015441.jpg,Rainbow Fish,Marcus Pfister,Paperback,4.0,7.12,$,8.8,9783314015441,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4197/9781419713101.jpg,In My Heart:A Book of Feelings,Jo Witek,Hardback,4.5,10.61,$,16.0,9781419713101,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141014081.jpg,The Complete MAUS,Art Spiegelman,Paperback,4.5,17.61,$,21.1,9780141014081,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3407/9780340733509.jpg,The Power of Now,Eckhart Tolle,Paperback,4.0,8.2,$,13.9,9780340733509,Health,dataset/Health/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4391/9781439199190.jpg,How to Win Friends and Influence People,Dale Carnegie,Paperback,4.0,8.3,$,9.5,9781439199190,Health,dataset/Health/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099511021.jpg,Educated,Tara Westover,Paperback,4.5,9.61,$,11.5,9780099511021,Health,dataset/Health/0000003.jpg
